,timestep,sentence,words,num_words,mean_word_length,num_syllables
0,149760,"Then Mrs. Daulby learnt that Miss Turner had not arrived at Shrigley, but that she had gone to Manchester.","['then', 'mrs.', 'daulby', 'learnt', 'that', 'miss', 'turner', 'had', 'not', 'arrived', 'at', 'shrigley,', 'but', 'that', 'she', 'had', 'gone', 'to', 'manchester.']",19,4,25
1,106496,Friends went in pursuit and traced her to Huddersfield and further north.,"['friends', 'went', 'in', 'pursuit', 'and', 'traced', 'her', 'to', 'huddersfield', 'and', 'further', 'north.']",12,5,16
2,199680,"The terror and dismay of her parents were soon intensified by the receipt of a letter from Wakefield, at Carlisle, announcing the marriage.","['the', 'terror', 'and', 'dismay', 'of', 'her', 'parents', 'were', 'soon', 'intensified', 'by', 'the', 'receipt', 'of', 'a', 'letter', 'from', 'wakefield,', 'at', 'carlisle,', 'announcing', 'the', 'marriage.']",23,5,36
3,106496,"Mr. Turner at once set off for London, where he sought the assistance of the police,","['mr.', 'turner', 'at', 'once', 'set', 'off', 'for', 'london,', 'where', 'he', 'sought', 'the', 'assistance', 'of', 'the', 'police,']",16,4,22
4,128512,and presently ascertained that Wakefield had gone to the Continent with his involuntary bride.,"['and', 'presently', 'ascertained', 'that', 'wakefield', 'had', 'gone', 'to', 'the', 'continent', 'with', 'his', 'involuntary', 'bride.']",14,5,26
5,154880,"An uncle of Miss Wakefield's, accompanied by his solicitor and a Bow Street runner, at once went in pursuit.","['an', 'uncle', 'of', 'miss', ""wakefield's,"", 'accompanied', 'by', 'his', 'solicitor', 'and', 'a', 'bow', 'street', 'runner,', 'at', 'once', 'went', 'in', 'pursuit.']",19,4,29
6,191488,"Meanwhile, a second letter turned up from Wakefield at Calais, in which he assured Mrs. Turner that Miss Turner was fondly attached to him,","['meanwhile,', 'a', 'second', 'letter', 'turned', 'up', 'from', 'wakefield', 'at', 'calais,', 'in', 'which', 'he', 'assured', 'mrs.', 'turner', 'that', 'miss', 'turner', 'was', 'fondly', 'attached', 'to', 'him,']",24,4,36
7,196864,"and went on to say, ""I do assure you, madam, that it shall be the anxious endeavor of my life to promote her happiness by every means in my power.""","['and', 'went', 'on', 'to', 'say,', '""i', 'do', 'assure', 'you,', 'madam,', 'that', 'it', 'shall', 'be', 'the', 'anxious', 'endeavor', 'of', 'my', 'life', 'to', 'promote', 'her', 'happiness', 'by', 'every', 'means', 'in', 'my', 'power.""']",30,3,44
8,177152,"The game, however, was nearly up. Miss Turner was met by her uncle on Calais pier as she was walking with Wakefield.","['the', 'game,', 'however,', 'was', 'nearly', 'up.', 'miss', 'turner', 'was', 'met', 'by', 'her', 'uncle', 'on', 'calais', 'pier', 'as', 'she', 'was', 'walking', 'with', 'wakefield.']",22,4,31
9,70912,The uncle claimed her. The husband resisted.,"['the', 'uncle', 'claimed', 'her.', 'the', 'husband', 'resisted.']",7,5,11
10,159232,"Monsieur le Maire was appealed to, and decided to leave it to the young lady, who at once abandoned Wakefield.","['monsieur', 'le', 'maire', 'was', 'appealed', 'to,', 'and', 'decided', 'to', 'leave', 'it', 'to', 'the', 'young', 'lady,', 'who', 'at', 'once', 'abandoned', 'wakefield.']",20,4,29
11,173312,"As he still urged his rights over his wife, Miss Turner cried out in protest, ""No, no, I am not his wife;","['as', 'he', 'still', 'urged', 'his', 'rights', 'over', 'his', 'wife,', 'miss', 'turner', 'cried', 'out', 'in', 'protest,', '""no,', 'no,', 'i', 'am', 'not', 'his', 'wife;']",22,3,29
12,135936,"he carried me away by fraud and stratagem, and forced me to accompany him to Gretna Green","['he', 'carried', 'me', 'away', 'by', 'fraud', 'and', 'stratagem,', 'and', 'forced', 'me', 'to', 'accompany', 'him', 'to', 'gretna', 'green']",17,4,24
13,145152,"By the same forcible means I was compelled to quit England, and to trust myself to the protection of this person,","['by', 'the', 'same', 'forcible', 'means', 'i', 'was', 'compelled', 'to', 'quit', 'england,', 'and', 'to', 'trust', 'myself', 'to', 'the', 'protection', 'of', 'this', 'person,']",21,4,29
14,113152,"whom I never saw until I was taken from Liverpool, and never want to see again.","['whom', 'i', 'never', 'saw', 'until', 'i', 'was', 'taken', 'from', 'liverpool,', 'and', 'never', 'want', 'to', 'see', 'again.']",16,4,22
15,41216,On this Wakefield gave in.,"['on', 'this', 'wakefield', 'gave', 'in.']",5,4,6
16,181504,"He surrendered the bride who had never been a wife, and she returned to England with her friends, while Wakefield went on alone to Paris.","['he', 'surrendered', 'the', 'bride', 'who', 'had', 'never', 'been', 'a', 'wife,', 'and', 'she', 'returned', 'to', 'england', 'with', 'her', 'friends,', 'while', 'wakefield', 'went', 'on', 'alone', 'to', 'paris.']",25,4,35
17,187904,"Mr. William Wakefield was arrested at Dover, conveyed to Chester, and committed to Lancaster Jail for trial at the next assizes,","['mr.', 'william', 'wakefield', 'was', 'arrested', 'at', 'dover,', 'conveyed', 'to', 'chester,', 'and', 'committed', 'to', 'lancaster', 'jail', 'for', 'trial', 'at', 'the', 'next', 'assizes,']",21,5,35
18,143872,"when indictments were preferred against both brothers ""for having carried away Ellen Turner, spinster,","['when', 'indictments', 'were', 'preferred', 'against', 'both', 'brothers', '""for', 'having', 'carried', 'away', 'ellen', 'turner,', 'spinster,']",14,6,26
19,222464,"then a maid and heir apparent unto her father, for the sake of the lucre of her substance; and for having afterwards unlawfully and against her will","['then', 'a', 'maid', 'and', 'heir', 'apparent', 'unto', 'her', 'father,', 'for', 'the', 'sake', 'of', 'the', 'lucre', 'of', 'her', 'substance;', 'and', 'for', 'having', 'afterwards', 'unlawfully', 'and', 'against', 'her', 'will']",27,4,40
20,41216,married the said Ellen Turner.,"['married', 'the', 'said', 'ellen', 'turner.']",5,5,8
21,128256,"They were tried in March of the following year, Edward Wakefield having apparently given himself up,","['they', 'were', 'tried', 'in', 'march', 'of', 'the', 'following', 'year,', 'edward', 'wakefield', 'having', 'apparently', 'given', 'himself', 'up,']",16,5,28
22,172800,"and found guilty, remaining in Lancaster Jail for a couple of months, when they were brought up to the court of King's Bench for judgment.","['and', 'found', 'guilty,', 'remaining', 'in', 'lancaster', 'jail', 'for', 'a', 'couple', 'of', 'months,', 'when', 'they', 'were', 'brought', 'up', 'to', 'the', 'court', 'of', ""king's"", 'bench', 'for', 'judgment.']",25,4,33
23,183296,The prosecution pressed for a severe penalty. Edward Wakefield pleaded that his trial had already cost him three thousand pounds.,"['the', 'prosecution', 'pressed', 'for', 'a', 'severe', 'penalty.', 'edward', 'wakefield', 'pleaded', 'that', 'his', 'trial', 'had', 'already', 'cost', 'him', 'three', 'thousand', 'pounds.']",20,5,33
24,52736,"Mr. Justice Bayley, in summing up,","['mr.', 'justice', 'bayley,', 'in', 'summing', 'up,']",6,4,11
25,177408,"spoke severely of the gross deception practiced upon an innocent girl, and sentenced the brothers each to three years' imprisonment,","['spoke', 'severely', 'of', 'the', 'gross', 'deception', 'practiced', 'upon', 'an', 'innocent', 'girl,', 'and', 'sentenced', 'the', 'brothers', 'each', 'to', 'three', ""years'"", 'imprisonment,']",20,5,32
